@relation 'dataset_recsys-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R18,20-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.Remove-R19,30,37,39,42,48,50,64,67,69-70,72,79-weka.filters.unsupervised.attribute.NominalToString-Cfirst-last-weka.filters.unsupervised.attribute.Remove-R19-weka.filters.unsupervised.attribute.Remove-R69-weka.filters.unsupervised.attribute.Remove-R49-weka.filters.unsupervised.attribute.Remove-R47-weka.filters.unsupervised.attribute.Remove-R38-weka.filters.unsupervised.attribute.Remove-R32-weka.filters.unsupervised.attribute.Remove-R80-weka.filters.unsupervised.attribute.Remove-R79-weka.filters.unsupervised.attribute.Remove-R42-weka.filters.unsupervised.attribute.Remove-R88-weka.filters.unsupervised.attribute.Remove-R3-7,9-10,12,14,18-19,21-24,27,30-35,37-38,40,42,46,48-50,53,55-58,62,67,70,72-74,83,86-weka.filters.unsupervised.attribute.NumericToNominal-R5,6,7,17,18,27,42,44-weka.filters.unsupervised.attribute.Remove-R1-47,50-55,57-60'

@attribute user_count numeric
@attribute movie_count numeric
@attribute imdb_release_date_tweet_diff_minutes string

@data
29,4,2600088
2,271,49788
29,4,4394329
43,5,1602116
2,22,10917
87,106,291786
149,23,271637
13,521,170840
1,968,94461
81,9,1702943
46,414,170843
39,2,1723103
40,304,221245
33,11,533666
106,382,21028
6,3,6954632
9,17,938377
36,39,12105522
25,158,301904
36,133,1249432
44,113,311992
46,450,70014
9,151,313436
4,450,70016
1,1,84418
2,962,94501
3,338,49865
13,271,49866
1,796,201127
34,7,3153067
28,112,818892
38,14,254414
74,9,15884121
15,796,201141
87,72,252983
135,16,27558265
18,359,29730
54,50,382592
42,106,274592
40,225,211236
1,346,697960
140,546,70061
1,271,49901
140,167,143502
49,40,412843
23,90,928363
30,1,4336785
111,225,211247
23,202,201167
22,483,110388
17,63,120468
2,344,94550
22,673,143512
60,82,746933
105,8,1963738
95,29,4757282
22,52,7984324
74,10,12438306
23,395,60008
12,65,281828
4,202,211269
9,58,564010
8,546,70092
1,99,29772
26,6,4313772
5,125,2539753
2,338,49933
20,59,523694
11,61,5220975
22,227,130576
78,7,523699
31,28,2146580
4,103,170962
7,272,150742
5,796,201203
12,84,574104
9,344,94589
85,52,443129
6,796,201210
65,82,746981
100,11,3436911
100,382,21171
8,106,281872
11,205,346674
50,546,70134
1,75,2822034
6,16,493556
60,105,251637
60,133,271801
1,344,94623
79,18,8204764
9,796,201246
60,292,231486
8,60,543906
67,186,264607
8,962,94632
14,12,13083499
18,9,12945260
129,28,6350001
34,25,5271441
24,19,19069522
66,359,29847
3,395,60087
66,271,50008
8,41,9353910
5,6,41373
7,202,201273
10,36,755675
10,106,274717
28,271,50017
79,37,10815517
11,294,80259
48,968,94664
80,66,191205
16,414,171046
66,3,47715527
30,100,6773448
37,962,94669
27,4,17579211
19,24,4740114
2,6,5835955
14,796,201300
30,77,19491482
3,72,5362203
27,338,50044
225,20,1219384
21,20,1239548
14,962,94693
2,15,1220834
14,14,1492996
2,81,584298
64,101,7055721
64,66,1904841
29,6,5835982
33,77,342445
47,225,211406
31,1,3164793
1,75,644795
5,15,181176
48,10,14605666
38,10,?
38,124,7468970
38,151,7035590
38,304,9666471
38,103,6743272
38,30,3105833
37,15,5100233
29,3,40017
54,202,201361
38,30,6692883
38,118,233045
60,59,4807866
20,546,70267
2,95,3650108
7,294,80348
51,10,2166917
7,37,31398
173,294,80377
159,10,708278
5,167,143745
19,133,1249737
19,216,433259
37,212,110639
42,272,150959
14,521,171181
3,192,9666543
63,3,6259505
16,382,21366
16,968,94807
83,262,60250
16,796,201430
31,133,1027991
16,14,68892
16,54,161053
16,962,94813
16,3,597375
16,186,264795
30,30,100577
16,18,2712738
71,9,5503524
14,252,9864
34,112,423205
1,168,21392
54,796,201454
1,294,80436
59,125,2540018
59,136,1481618
59,157,957459
59,79,846579
6,262,60281
6,30,100601
24,21,10213787
61,52,2056190
5,414,171230
28,796,201479
12,32,1110060
27,81,584464
3,968,94875
3,673,143836
2,3,23301921
93,8,13026142
9,319,161151
8,179,231773
1,20,1239781
10,82,6955089
31,673,143890
1,673,143895
30,338,50295
6,60,3306139
19,70,554303
11,389,181417
30,42,272141
21,673,143925
21,118,233268
165,179,231832
155,10,816479
2,304,221765
6,249,231847
94,450,70516
14,8,22335857
5,42,254902
28,3,-362914
1,430,201632
196,292,231873
12,962,95019
35,375,-15
29,430,201657
472,34,1180800
35,21,1743843
15,968,95064
6,796,201695
5,968,95076
1,272,151243
1,430,201706
18,375,46
2,8,3689334
15,5,282356
78,60,57
4,483,110939
5,11,21667739
188,60,544390
2,5,282373
44,6,2481261
100,44,1190962
168,20,352956
168,5,3074557
32,382,21706
1,252,10188
85,17,4929292
80,17,5312276
5,15,1199647
25,40,1270273
25,47,3124994
25,304,9666915
25,192,9666915
25,151,7036035
25,104,19605735
25,136,11806756
25,163,9810916
25,96,9226276
25,101,7056197
25,82,6955337
25,79,6370698
25,139,1854918
25,79,7882698
25,21,22801158
25,102,7963339
25,83,2681419
2,962,95180
25,59,4808300
25,17,2731822
3,382,21756
53,12,4143097
12,673,144166
4,6,7993640
11,382,21802
92,73,1290512
59,6,3045884
59,271,50625
4,53,2883167
32,51,4932293
100,187,463983
20,7,?
10,521,171666
1,968,95287
1,796,201910
13,673,144258
1,673,144259
31,33,38458351
14,430,201937
27,304,9667059
16,9,1182520
15,796,201947
43,13,574857
206,10,595021
14,81,584943
2,25,5332629
168,1,?
5,59,584959
66,101,7056381
48,336,494313
108,11,21668013
29,202,202010
111,215,353210
9,271,50754
6,546,70923
6,968,95403
32,796,202028
1,110,413710
1,5,81012
1,483,111252
10,796,202038
6,17,1794682
103,521,171818
66,430,202063
40,20,746386
36,112,151611
6,968,95453
6,968,95459
3,962,95460
168,75,645545
6,167,144427
13,1,?
23,673,144433
48,21,6666263
1,18,2268446
10,217,383546
3,134,353312
20,150,292833
11,4,-666197
6,14,855887
36,10,42748314
9,962,95517
3,375,477
3,474,40799
3,382,22080
1,1,?
18,252,10565
108,1,17349608
18,271,50890
13,968,95535
20,673,144498
11,134,746488
1,252,10604
93,3,-141974
26,324,1969
5,13,12050
103,99,363472
1,43,1122294
20,115,9616855
60,55,2016598
19,962,95579
30,962,95581
13,3,?
100,23,7510152
18,7,1935972
32,336,494535
39,8,4193850
39,34,4536631
107,15,5967995
38,11,2893597
43,32,13527997
85,796,202238
38,14,2812958
130,110,413919
2,962,95619
7,375,582
3,27,6078882
1,272,151782
49,6,9818564
216,430,202248
35,968,95629
135,20,17721291
103,962,95632
85,199,2429937
85,248,1381617
85,163,9811378
23,22,23620921
48,474,40928
81,167,144613
97,58,7251078
18,796,202279
67,395,61103
5,4,222446
17,968,95670
66,17,1603354
22,86,1099358
3,474,40960
4,962,95684
27,112,151849
112,2,36732229
66,70,14747697
25,450,71227
7,324,2112
3,40,10635084
135,11,28240587
6,40,1152694
103,11,534935
9,15,2330679
1,796,202383
65,21,1240623
112,2,35325374
161,4,8095034
4,20,3750502
50,627,30983
13,140,565232
12,546,71315
5,796,202417
19,673,144762
107,96,9226905
20,796,202425
16,136,11807385
1,89,1149892
27,157,958435
66,133,1028997
2,54,595501
44,796,202442
44,249,232682
15,9,847573
22,50,2984535
51,22,677596
51,1,860537
43,39,1049122
15,49,2803103
43,24,1744643
43,37,1734564
104,22,545124
104,11,3176005
23,521,172226
2,271,51206
1,59,524975
38,23,706476
1,319,162097
17,26,303278
13,4,4587281
31,796,202482
9,106,275923
66,56,?
66,430,202483
55,227,131864
2,111,837533
66,1,41472834
2,968,95877
18,134,746820
95,60,840
9,64,1724534
9,167,144856
19,179,232757
19,344,95898
74,12,4921398
19,176,3367639
19,75,645980
19,33,3508760
3,483,111742
19,192,9667642
19,103,10103903
19,151,7036763
8,796,202524
22,796,202529
20,51,3418052
209,43,938373
2,796,202533
45,796,202534
14,1,3767916
131,215,353738
24,228,61359
32,294,81521
18,338,51282
32,23,1744722
9,40,9002324
59,111,837585
140,25,1279665
78,10,9012405
14,25,5272726
6,395,61370
71,796,202551
28,395,61373
46,37,32575
14,18,2833438
35,483,111779
11,33,100260
18,344,95941
51,968,95941
47,124,235682
3,796,202567
20,51,5907788
2,796,202572
17,395,61392
22,5,2037133
10,134,746893
71,271,51313
62,16,3330193
2,176,3367693
1,94,152114
2,3,30526036
138,324,2357
23,319,162197
38,9,-118538
8,139,1855701
5,73,195385
72,228,61408
9,20,5403810
4,450,71495
1,968,95975
30,20,9093100
9,60,3307193
19,248,1381980
70,673,144961
37,968,96002
25,84,515043
42,10,?
29,673,144968
2,968,96009
2,28,4113669
4,53,2883911
45,71,404232
36,319,162252
7,42,2863752
7,82,748392
27,414,172396
5,673,144976
58,483,111857
25,83,575539
13,20,3750739
3,2,21534743
21,1,?
39,272,152186
20,27,6905788
94,2,?
39,11,7702170
5,14,10222173
49,26,303453
1,15,7208253
4,336,494974
25,27,1193315
1,796,202656
2,151,314976
60,430,202658
7,338,51398
34,271,51406
23,80,827626
5,202,202667
8,77,343788
16,252,11088
8,1,1042129
33,66,192590
28,8,14082830
26,33,394191
2,8,10726191
140,8,1119894
13,319,162294
54,4,3811259
9,124,7470299
214,90,1009081
8,319,162303
147,47,407166
147,324,2466
6,5,2168228
62,796,202689
63,9,8054950
1,338,51433
32,319,162313
30,5,957254
10,10,?
9,19,2348296
2,76,11394376
11,796,202696
129,151,315018
64,26,5807121
38,158,303502
3,359,31286
7,112,152246
9,121,194066
14,6,2856626
57,73,628887
1,81,585689
1,319,162329
11,962,96094
7,33,19062335
71,249,232957
22,134,747040
9,521,172483
70,673,145064
33,4,1868811
131,33,2279211
320,23,5313231
5,5,444653
4,11,9456121
1,27,454742
5,27,15134103
14,11,2631963
100,134,747064
100,29,4758844
10,14,1353304
100,115,222904
8,40,2987704
100,18,1543385
100,86,3179165
25,796,202747
5,673,145089
206,1,?
8,430,202750
1,962,96132
1,72,5363652
135,29,38668035
24,6,22074856
3,4,1281321
36,23,1785321
34,414,172522
209,115,222930
19,46,23609915
26,106,276217
40,3,133601
2,108,2823582
173,94,152324
18,304,222948
130,76,669290
9,3,10897671
225,2,728392
5,968,96172
2,4,1868873
26,252,11213
1,968,96176
1,968,96177
11,2,790320
1,10,32826
3,56,464892
23,31,1120038
54,103,6744738
7,158,303624
1,344,96209
9,11,5787090
13,20,4386032
63,521,172599
6,8,7803160
11,673,145182
1,28,2924445
11,40,7715328
8,382,22792
5,73,195653
1,546,71768
3,50,454873
40,84,515294
6,8,2241854
112,49,767355
4,344,96265
39,2,3519205
9,167,145226
9,382,22826
9,796,202887
9,546,71787
9,272,152428
206,9,234569
81,111,837930
2,15,?
1,796,202897
62,75,2823697
1,796,202900
2,33,6180344
4,32,1247
28,1,?
1,232,11347
23,36,535510
10,3,135190
187,262,61752
187,395,61753
40,9,868217
40,796,202937
30,70,14748317
311,609,102078
2,47,3317603
30,18,485192
156,57,226001
2,50,384401
3,55,374322
3,90,233215
3,73,195779
3,521,172741
6,796,202988
15,3,44078351
22,272,152533
22,43,1573821
196,35,10000701
472,1,11240605
19,304,223166
19,147,1513408
84,1,2339973
84,3,9133894
40,66,777576
2,627,31597
92,8,102158
9,968,96410
1,124,236151
29,59,1373
50,4,13175933
5,194,22982
3,15,12382563
15,12,16663688
28,796,203051
74,62,7632013
8,796,203060
5,430,203067
118,186,266438
70,105,253481
13,796,203082
7,627,31666
22,179,233330
32,375,1432
6,3,11364535
6,9,9123895
11,167,145436
73,79,7884000
17,395,61930
2,64,193038
2,304,9668240
14,2,314004
14,167,145466
472,2,2301209
15,42,4448257
45,124,236258
45,202,203138
9,6,?
230,57,145503
17,414,172924
124,2,46779923
97,1,1091609
7,10,727352
7,968,96572
40,375,1545
25,100,465298
11,14,172985
239,262,62057
11,121,194601
56,474,41907
7,450,72147
7,796,203248
31,134,354449
4,211,1593
2,673,145595
25,5,11432375
4,962,96637
2,192,9668385
89,430,203272
59,157,959278
20,304,223443
61,4,425048
57,212,112516
95,11,10595716
62,36,5424677
95,14,37862117
6,48,6234018
3,962,96684
1,1,?
135,395,62131
12,37,72221
149,3,36561886
14,23,1585674
2,70,14748717
37,430,203338
5,57,556094
32,546,72258
52,968,96741
1,968,96745
2,179,233610
29,84,515799
15,3,?
3,11,4831482
36,414,173145
6,43,425146
1,25,1080288
93,110,415079
13,43,425171
1,7,52151
22,968,96792
1,23,3220155
55,18,1896864
55,1,5495425
55,2,426625
55,28,2837187
168,1,5204547
9,375,1767
3,192,9668550
168,5,174640
12,22,1261841
6,86,5367229
242,29,28103454
6,5,3489540
20,16,1385709
7,338,52212
7,304,223634
9,796,203474
9,673,145815
311,609,102616
40,796,203484
20,344,96866
19,111,838527
17,4,1667908
65,21,263969
83,375,1832
41,262,62313
39,796,203493
2,414,173257
14,9,2874700
9,31,4951184
29,483,112724
17,136,11808472
4,968,96901
70,47,2209392
1,8,215055
13,42,256815
6,673,145880
1,13,5193144
355,3,448346
1,7,52286
8,100,465627
32,54,1292188
37,61,5223331
22,304,223711
46,30,102692
1,375,1892
3,10,6303342
29,3,1199982
209,98,707569
209,294,203569
4,88,7753490
10,319,163191
6,673,145913
6,968,96957
65,13,?
31,962,96978
120,75,2824401
16,61,8126481
16,42,2864722
9,395,62423
16,199,2431284
9,483,112825
9,67,96985
6,5,9134486
9,95,82586
40,319,163227
16,36,2249787
29,82,749367
16,99,395127
40,8,?
13,546,72507
40,19,32189
7,14,173370
9,124,7471233
40,1,?
1,796,203614
20,395,62441
16,31,3741642
97,37,72527
65,215,354829
5,389,183473
51,84,516062
140,163,52385
140,88,-78593
16,9,7934948
113,6,5898798
1,414,173422
1,796,203663
34,30,102803
16,212,112891
138,2,354880
138,99,32262
4,25,25494404
1,304,9668807
22,30,12108
95,11,8731369
12,319,163311
22,150,294414
1,249,233934
5,1,27904918
13,3,2844661
225,4,2693408
4,143,9174921
24,968,97101
135,57,16140204
37,10,2632947
48,968,97109
2,77,183570
1,118,235411
1,375,2071
2,546,72638
80,23,1554459
35,294,82725
22,26,304550
9,212,112975
5,86,20091544
8,382,23710
26,2,19063393
2,6,234014
1,30,12202
5,254,324745
2,304,9668905
140,9,131727
14,39,22288
6,44,4669234
14,450,72697
230,57,226849
40,67,213889
2,5,44043176
2,7,185097
50,232,12242
13,82,749584
12,82,82804
9,324,3609
2,179,234073
49,2,16858814
2,395,62655
2,30,12255
65,319,163458
23,167,146180
6,968,97223
38,108,254244
4,133,1030414
1,12,677557
29,16,457298
7,7,12672759
38,18,13307803
2,30,12283
16,294,82844
4,67,1544507
7,115,224028
27,382,23811
10,389,183711
2,9,272996
22,66,193800
16,28,536462
12,796,203883
39,521,173652
30,26,2169432
9,17,4931415
120,8,21072317
1,272,153437
53,1,3428060
32,143,9175101
80,4,1455263
14,21,670408
12,167,146248
163,8,22997669
26,248,103050
1,12,133293
2,962,97293
1,67,23760814
11,16,445834
96,105,417038
2,389,183761
161,35,6917141
1,962,97301
1,389,183762
3,13,5981204
7,55,375288
30,33,101633
7,2,6423234
2,546,72836
189,21,4336677
189,15,6816357
189,8,4840678
189,25,7239778
189,3,10102439
14,1,2484900
27,105,417061
6,118,235622
66,272,153484
38,31,4014184
1,546,72844
6,796,203945
38,57,556689
4,521,173710
48,304,224111
38,120,365235
19,673,146296
131,15,2332277
91,14,173721
91,430,203961
42,76,133343
10,70,556705
2,21,1645345
138,968,97345
1,30,12386
1,27,479007
24,46,4790307
5,167,146307
5,108,254368
5,319,163588
5,796,203968
26,338,52709
140,338,52723
33,48,1211925
46,375,2325
9,395,62805
1,66,778547
63,968,97369
46,35,3086872
13,3,1054974
17,1,?
37,30,4355457
6,74,183838
1,89,17239200
24,134,355200
23,77,183842
6,228,62822
8,202,204004
5,673,146348
8,483,113228
5,57,1423689
6,99,346573
4,62,355214
10,15,2402897
17,53,630198
123,521,173780
45,121,255861
18,82,83001
34,338,52762
2,1,?
32,474,42687
5,32,1453947
9,338,52768
8,150,294749
135,8,27070109
12,107,274589
12,34,4608989
92,1,?
8,389,183872
2,395,62852
8,968,97413
11,673,146374
8,796,204034
51,304,224195
10,33,235716
39,546,72937
11,212,113259
40,81,587020
43,395,62862
36,134,748363
72,4,4077644
46,344,97425
30,42,297648
14,1,6534289
5,546,72949
7,138,-438250
20,24,4326710
1,36,2250231
14,5,7464471
1,168,23991
49,17,20091832
23,796,204053
43,82,749813
36,65,3217914
4,10,1363255
5,796,204056
4,33,6181496
4,30,980217
4,12,1050718
24,48,1746239
79,18,11977499
1,521,173821
7,15,?
16,1,517922
4,796,204063
10,414,173823
94,796,204063
10,796,204064
1,4,889504
9,344,97448
39,77,183909
49,21,2243050
3,796,204073
16,60,546733
17,7,319274
7,796,204074
50,25,951437
53,215,355279
21,30,1030641
1,319,163701
8,968,97461
21,113,314962
35,395,62903
44,324,3864
26,72,1161624
120,43,2728344
16,60,3308665
16,100,631707
16,23,791607
28,36,5425467
5,105,254488
28,42,297689
118,6,74429
16,25,2109150
16,15,1816890
74,83,4548570
16,9,1716031
19,22,13951
16,21,1739071
8,338,52831
16,61,2633311
1,389,183933
18,968,97473
37,1,8076574
1,80,2179718
20,796,204099
69,9,614441
19,7,667721
33,48,6234824
1,546,73004
1,49,355306
36,36,?
44,194,24047
6,395,62928
6,89,17239310
13,7,9336591
24,18,24047632
92,40,1272597
35,217,385559
13,106,277559
9,344,97499
9,294,83100
6,110,415801
6,84,516542
6,43,425882
32,49,950043
7,521,173883
31,227,133503
189,115,9618784
18,60,3308704
189,16,931324
189,199,2431805
189,103,4057565
6,546,73025
37,6,19822687
2,112,425888
29,59,569828
37,50,13479488
37,24,9850689
37,13,10909089
37,30,20794690
40,1,17590690
1,20,6473830
37,4,8620931
37,6,8348771
37,3,10304291
22,395,62952
27,521,173892
37,17,3974052
37,8,8782214
37,4,5556614
50,38,5092935
62,179,234376
62,73,1292777
35,796,204138
35,17,195499
38,375,2481
242,3,134963
37,9,6678383
37,6,3570863
51,194,24083
37,3,3328883
37,24,1718964
37,21,7504884
37,8,7582705
37,7,3893425
37,6,3379345
37,15,4084946
37,13,2270486
37,22,2492306
37,50,1816947
37,10,4427667
37,62,12733528
2,389,183989
37,36,2250329
37,18,1726169
37,36,11685209
2,962,97530
37,21,9800311
29,271,52891
37,27,4236092
17,57,146493
37,42,4629273
37,26,6211833
19,796,204153
37,29,14094393
37,6,11930074
3,319,163774
37,14,11423194
25,49,1312954
2,430,204155
12,202,214236
12,33,2280636
1,304,224317
54,72,255997
18,336,496479
3,71,405760
5,88,-78078
91,294,204161
11,50,1040742
123,968,97543
101,796,204164
101,2,?
83,414,173927
26,796,204168
155,14,1315849
13,962,97551
2,962,97552
11,796,204174
94,2,?
23,63,123482
24,25,30906422
14,814,-7556
38,14,2300823
24,121,256024
1,202,204185
9,483,113406
70,15,7733948
73,12,10364833
73,2,4246213
2,968,97575
73,44,4669636
23,796,204196
4,199,2431876
32,37,34217
73,26,4024518
73,151,7038440
73,34,3066920
28,36,7381100
73,33,4561641
66,163,9813321
73,31,2454922
20,225,214283
6,796,204204
30,4,1668626
3,121,195566
1,414,173966
19,85,244526
80,8,1829972
80,35,2310932
3,968,97595
1,968,97595
42,359,32795
79,39,6422077
6,673,146558
11,796,204219
34,57,1071040
1,344,97600
71,319,163841
40,42,2655044
10,42,2655045
149,76,11395907
5,294,83208
5,163,9813349
5,796,204229
5,673,146570
73,796,204231
5,227,133611
12,521,173994
1,382,24175
14,294,204236
67,24,4884179
51,115,224401
311,47,408724
6,483,113470
2,252,12673
81,112,153795
21,102,6494177
33,72,256097
28,294,83239
16,13,184106
90,5,-69333
1,89,1151728
73,11,3177808
23,796,204272
28,5,4175736
1,80,375638
3,49,768758
2,430,204281
17,1,670782
70,1,24226
57,12,30871968
73,7,2794789
13,1,12825889
33,2,5748232
70,1,-378962
4,29,276305
140,23,274866
196,7,3923830
196,98,1867511
14,5,?
196,50,1998551
14,3,42972
196,23,1786872
196,15,13267932
196,19,2038873
14,1,3147613
14,8,27133
196,5,1778234
14,1,87614
196,32,2079194
196,6,1776794
196,7,8167515
14,24,768795
196,7,8167515
196,10,1796955
2,962,97696
14,5,83296
14,6,637696
196,13,4316896
196,4,12824477
14,8,3288737
196,125,2542877
196,21,1645697
196,30,23771298
8,125,204318
11,49,950238
79,12,1675938
196,3,44043679
14,10,3157699
196,13,43404319
14,10,3157699
196,2,1807039
14,5,32900
196,3,42325760
196,27,1867520
40,8,7965862
11,5,143788
2,57,227373
7,15,3329073
118,1,?
15,3,136600
1,19,13429301
67,27,-15965
30,1,26648515
15,81,234599
135,80,1978440
32,375,2701
30,962,97743
22,205,349803
1,796,204364
1,430,204365
6,968,97746
18,483,113589
13,59,570071
3,43,426133
5,99,346934
6,609,103515
20,10,2381656
26,103,1968379
47,42,839419
26,37,1434140
26,142,1010782
26,17,7149503
9,968,97766
22,521,174147
189,395,63209
13,968,97771
15,450,73292
64,37,2734415
15,99,405996
12,6,3752496
23,20,4387597
1,17,8973939
64,36,11685459
196,26,4427922
91,13,-277996
41,215,355606
67,375,2749
5,125,204414
1,521,174175
4,1,12814495
66,118,236096
45,3,13502816
18,294,204419
9,248,1383779
27,108,254823
22,14,1354989
28,18,9649390
81,968,97822
28,18,9649405
37,4,365725
190,1,12722306
17,16,145352
45,17,6998313
1,119,6517414
1,796,204455
28,11,1275817
17,344,97837
2,673,146798
472,50,688246
98,5,175669
9,294,204470
1,31,2050552
18,4,14134973
14,225,214560
14,32,627780
14,3,?
33,344,97861
14,19,516902
85,375,2823
17,99,347043
85,474,43143
34,521,174244
34,17,3913924
3,67,214569
69,521,174253
2,18,9054677
6,19,217458
118,1,4528821
5,304,224662
17,30,103642
23,2,1536509
3,121,195872
103,79,18815074
5,796,204515
64,21,1645896
67,249,234756
1,382,24457
7,16,20871400
18,66,1908044
190,1,?
43,25,4085330
14,82,527037
14,23,315421
14,8,3450301
14,9,1353661
1,9,-197216
18,16,1323430
7,20,5405772
14,521,174312
5,211,2893
34,338,53296
91,77,345678
1,252,12980
95,205,350002
206,25,1081462
65,627,33148
74,673,146909
23,796,204572
31,108,254974
30,2,751775
49,673,146916
5,57,557317
55,41,1343620
14,796,204583
10,962,97968
66,115,224748
41,521,174353
32,17,20623735
190,2,14225816
12,521,174358
10,2,890047
4,205,350047
89,13,4004770
3,968,98000
4,9,6423927
22,86,2150015
7,40,2704417
7,104,19608578
7,304,9669758
22,86,2150018
7,15,12988962
16,962,98026
5,141,345772
147,29,4904754
5,227,134040
57,483,113881
35,212,113885
10,968,98048
29,627,33249
1,25,638052
35,546,73574
35,9,2331556
35,49,5184198
28,796,204680
9,319,164317
9,67,214777
2,42,365980
8,30,103842
103,35,960707
5,87,?
98,99,33296
19,483,113936
39,37,34737
29,338,53461
92,7,?
66,673,147064
10,31,17895064
15,796,204728
1,100,11596513
19,12,12394345
23,31,8057005
147,1,1503632
4,796,204754
20,24,940605
6,150,295488
168,24,4085570
242,6,29505841
1,103,6746709
1,814,-6945
9,46,883035
48,17,8974337
4,546,73706
7,962,98189
32,521,174570
67,167,147151
98,6,10929931
7,968,98193
59,12,12394413
48,7,18701621
6,60,547489
5,27,1978910
24,3,4972671
5,796,204832
5,414,174592
7,82,870117
1,1,?
15,627,33433
29,215,356055
83,521,174619
168,2,?
10,112,759266
130,29,1958788
8,521,174629
93,22,12250412
13,89,17240074
37,1,41351435
22,521,174639
7,272,154419
1,1,25485520
7,272,154432
33,66,194814
27,72,1162442
11,202,204910
53,2,11202132
92,21,9040697
2,344,98300
3,4,1807642
34,521,174688
63,9,8181091
47,673,147274
14,1,435334
1,2,11605354
17,272,154476
14,1,302857
14,1,347497
29,77,184777
14,1,390700
14,1,484301
8,796,204942
19,88,27603822
3,71,356143
8,272,154484
49,10,1526864
85,28,3964785
8,160,21534167
168,1,3331136
311,3,23299619
2,344,98339
1,546,73863
9,15,251044
18,99,347528
38,1,?
104,6,5325554
16,1,105554
3,18,7703054
2,34,809775
7,272,154516
2,41,638356
3,105,255376
149,1,18704660
15,673,147326
55,106,285633
39,521,174754
30,167,147338
54,35,2311720
5,5,1055982
39,67,215083
1,962,98386
5,673,147348
30,962,98388
14,1,791091
6,168,24952
9,76,671513
22,382,24960
8,228,63841
10,6,5325602
18,54,1001349
7,962,98415
14,167,147378
54,2,21479598
16,962,98422
79,7,12522804
2,151,7039292
13,14,3481058
225,45,688839
13,110,416740
55,14,3481060
3,20,789701
4,319,164684
4,796,205066
24,82,750832
1,6,2704853
64,99,347635
24,51,598138
13,382,25023
13,344,98464
6,82,527587
13,796,205088
13,962,98468
13,248,1384449
67,59,9350530
13,225,215174
13,215,356295
13,202,1394535
13,103,1969095
13,319,164717
13,292,235338
4,72,419661
4,17,3329841
4,9,5759122
33,14,9508882
4,338,53849
13,205,350553
31,187,467194
14,88,-77124
26,115,225283
23,7,24327944
7,6,5839787
